nombre;precio normal;precio oferta;marca;peso (kg);memoria interna;memoria ram;procesador;tipo procesador;camara frontal;camara posterior rango;camara posterior;capacidad de bateria;resolución de la pantalla;tamaño de pantalla rango;tamaño de la pantalla;sistema operativo rango;sistema operativo;compañia;resistente al agua;tipo de conector;conectividad;entrada de audio;bluetooth;tipo de pantalla;sim;cantidad de cámaras;lector de huella digital;zoom digital (x);usb;nfc;zona wi-fi;localizacion;chip de compañia incluido;flash;contrato;enfoque automatico;radio;formatos video;reproduce formato(s) de audio;velocidad cpu;bateria;garantia;tipo de producto;modelo;alto (cm);ancho (cm);largo (cm)
"CELULAR SAMSUNG GALAXY A04E 6.5"" 3GB 64GB 13MP + 2MP NEGRO";S/ 489;S/ 469;SAMSUNG;0.188;64GB;3GB;Octa Core;Octa Core;5MP;Más de 10MP;13MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;6.5;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth;No;Sí;LCD;Single Chip;;No;Si;Sí;No;Sí;Sí;No;Sí;Desbloqueado;Sí;No;MP4,M4V,3GP,3G2,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV, AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA;2.3GHz, 1.8GHz;5000 mAh;1 año;Celulares y Smartphones;A04E;16.64;7.63;0.91
"CELULAR SAMSUNG GALAXY A13 6.5"" 64GB 4GB 8MP + 50MP + 5MP + 2MP + 2MP";S/ 649;S/ 599;SAMSUNG;;64GB;4GB;;;8MP;Más de 10MP;50 + 5 + 2 + 2 MP;5000 mAh;;"Entre 5.5 a 6.9 """;;Android > a 5.0;;Desbloqueado;No;;Wifi, BT, GPS, NFC, USB;;Sí;TFT;;;Sí;;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;Sí;Sí;2.0GHz, 2.0GHz;5000 mAh;1 año;Celulares y smartphones;A13;16.45;7.65;0.88
"CELULAR SAMSUNG GALAXY S23 6.1"" 8GB 256GB 50MP + 10MP + 12MP SM-S911BZGMLTP VERDE";S/ 3,999;S/ 3,799;SAMSUNG;168;256GB;8GB;Qualcomm | SM8550;Octa-Core;12 MP;Más de 10MP;50 MP + 10 MP + 12 MP;3900 mAh;;"Entre 5.5 a 6.9 """;"6.1""";Android > a 5.0;Android 13;Desbloqueado;IP68;USB-C;5G/4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;3.36GHz,2.8GHz,2GHz;3900 mAh;1 año;Celulares y Smartphones;SM-S911B;146.3;70.9;7.6
"CELULAR SAMSUNG GALAXY S23 PLUS 6.6"" 8GB 512GB 50MP + 10MP + 12MP SM-S916BZKMLTP NEGRO";S/ 4,799;S/ 4,599;SAMSUNG;195;512GB;8GB;Qualcomm | SM8550;Octa-Core;12 MP;Más de 10MP;50 MP + 10 MP + 12 MP;4700 mAh;;"Entre 5.5 a 6.9 """;"6.6""";Android > a 5.0;Android 13;Desbloqueado;IP68;USB-C;5G/4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;3.36GHz,2.8GHz,2GHz;4700 mAh;1 año;Celulares y Smartphones;SM-S916B;157.8;76.2;7.6
"CELULAR SAMSUNG GALAXY A04 6.5"" 4GB 64GB 50MP + 2MP NEGRO";S/ 569;S/ 549;SAMSUNG;0.192;64GB;4GB;Octa Core;Octa Core;5MP;Más de 10MP;50MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.5""";Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;LCD;Single Chip;;No;Sí;Sí;Sí;Sí;Sí;;Sí;;Sí;No;MP4,M4V,3GP,3G2,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV, AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA;2.3GHz, 1.8GHz;5000 mAh;1 año;Celulares y Smartphones;SM-A045F;16.64;7.63;0.91
"CELULAR SAMSUNG GALAXY A23 6.6"" 4GB 50MP + 5MP + 2MP + 2MP NEGRO";S/ 849;S/ 769;SAMSUNG;;128GB;4GB;;;8MP;Más de 10MP;;5000 mAh;;"Entre 5.5 a 6.9 """;6.6'';Android > a 5.0;;Desbloqueado;No;;Wifi, BT, GPS, USB;;Sí;TFT;;;Sí;;Sí;No;Sí;Sí;No;Sí;Desbloqueado;No;No;Sí;Sí;2.4GHz, 1.9GHz;5000 mAh;1 año;Celulares y smartphones;Galaxy A23;16.45;7.69;0.84
"IPHONE 11 6.1"" 64GB 12MP + 12MP NEGRO";S/ 2,199;S/ 2,099;APPLE;194 g;64GB;;;;12MP;Más de 10MP;12MP;;;Entre 4.5 a 4.9'';6.1;iOS;;Desbloqueado;;;4G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 11;0,83;7,57;15,09
XIAOMI REDMI 9A 6.53'' 32GB 13MP;S/ 489;S/ 469;XIAOMI;198;32GB;2GB;;MediaTek Helio G25;5MP;Más de 10MP;13MP;;;Entre 4.5 a 4.9'';6.53;Android > a 5.0;;Desbloqueado;;;4G;;;LED;Doble Chip;;;;No;;;;;No;Desbloqueado;No;;;;2.0 MHz;5000 mAh;1 año;Celulares y smartphones;Redmi 9A;16;7.7;0.9
"CELULAR MOTOROLA G31 6.4"" 4GB 50MP + 8MP + 2MP AZUL";S/ 699;S/ 669;MOTOROLA;0.181;128GB;4GB;Mediatek;Helio G85;13MP;Más de 10MP;50 MP + 8 MP + 2 MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 11;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth;No;Sí;;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;;Sí;;Sí;No;HD+;MP3/eAAC+/WAV/FLAC;2.4 GHz;5000 mAh;;Celulares y Smartphones;G31;16.18;0.85;7.38
"CELULAR POCO M5S 6.43"" 6GB 128GB 64MP+8MP+2MP+2MP GRIS";S/ 1,099;S/ 949;XIAOMI;0.178;128GB;6GB;Media Tek;Helio G95;13MP;Más de 10MP;64MP+8MP+2MP+2MP;5000mAh;;"Entre 5.5 a 6.9 """;"6.43""";Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G LTE / Wi-Fi / Bluetooth;Sí;Sí;AMOLED;Doble Chip;;Sí;Sí;No;Sí;Sí;Sí;No;Sí;Desbloqueado;Sí;No;MP4 I M4V I MKV I AVI I WMV I WEBM I 3GP I 3G2;MP3; 2,05 GHz;5000 mAh;1 año ;Celulares y Smartphones;Poco M5S;16.04;0.829;7.45
"CELULAR SAMSUNG GALAXY S23 ULTRA 6.8"" 12GB 512GB 200MP + 10MP + 12MP + 10MP SM-S918BZKVLTP NEGRO";S/ 5,599;S/ 5,399;SAMSUNG;233;512GB;12GB;Qualcomm | SM8550;Octa-Core;12 MP;Más de 10MP;200 MP + 10 MP + 12 MP + 10 MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.8""";Android > a 5.0;Android 13;Desbloqueado;IP68;USB-C;5G/4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;3.36GHz,2.8GHz,2GHz;5000 mAh;1 año;Celulares y Smartphones;SM-S918B;163.4;78.1;8.9
"CELULAR MOTOROLA MOTO E22I 6.5"" 2GB 64GB 16MP + 2MP GRIS";S/ 479;S/ 449;MOTOROLA;7.60E-02;64GB;2GB;Octa Core;MTK G37;5MP;Más de 10MP;16MP + 2MP;4020 mAh;;"Entre 5.5 a 6.9 """;6.5;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth;Sí;Sí;LCD IPS;Single Chip;;Sí;;No;No;;Sí;;Sí;;Sí;Sí;;MP3|MIDI|AMR;Cortex A53*4: 2.3Ghz / Cortex A53*4: 1.8Ghz;;1 año;Celulares y Smartphones;BoraG - E12;17.2;9;5
CELULAR SAMSUNG GALAXY S20 FE 6.5'' 6GB 128GB 12MP + 12MP + 8MP AZUL;S/ 1,899;S/ 1,799;SAMSUNG;190 g;128GB;6GB;;Qualcomm | SM8250;32MP;Más de 10MP;12MP + 12MP + 8MP;4500 mAh;;"Entre 5.5 a 6.9 """;"6.5""";Android > a 5.0;Android 12;Desbloqueado;Sí;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;2.8GHz,2.4GHz,1.8GHz;4500 mAh;1 año;Celulares y smartphones;SM-G781B;15.98;7.45;0.84
"IPHONE 11 6.1"" 128GB 12MP + 12MP - BLANCO";S/ 2,499;S/ 2,399;APPLE;194 g;128GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;6.1;iOS;;Desbloqueado;;;4G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 11;15.09;7.57;0.83
"CELULAR MOTOROLA MOTO E22I 6.5"" 2GB 64GB 16MP + 2MP BLANCO";S/ 479;S/ 449;MOTOROLA;7.60E-02;64GB;2GB;Octa Core;MTK G37;5MP;Más de 10MP;16MP + 2MP;4020 mAh;;"Entre 5.5 a 6.9 """;6.5;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth;Sí;Sí;LCD IPS;Single Chip;;Sí;;No;No;;Sí;;Sí;;Sí;Sí;;MP3|MIDI|AMR;Cortex A53*4: 2.3Ghz / Cortex A53*4: 1.8Ghz;;1 año;Celulares y Smartphones;BoraG - E12;17.2;9;5
"IPHONE 13 PRO 6.1"" 128GB 12MP + 12MP GRAFITO";S/ 4,799;S/ 4,699;APPLE;;128GB;;;;12MP;Más de 10MP;12MP;;;"Entre 5.5 a 6.9 """;;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13 Pro;0,74;7,15;14,67
CELULAR XIAOMI REDMI NOTE 11 128GB DOBLE CHIP 50MP+8MP+2MP+2MP - TWILIGHT BLUE;S/ 979;S/ 949;XIAOMI;179;128GB;4GB;;Qualcomm Snapdragon 6225;13MP;Más de 10 MP;50MP + 8MP + 2MP + 2MP;;;Entre 4.5 a 4.9'';6.43;Android > a 5.0;;Desbloqueado;;;4G;;;Full HD;Doble Chip;;;;;;;;;Sí;Desbloqueado;;Sí;;;Octacore 2.4 Ghz;5000mAH;1 año;Celulares y smartphones;Redmi note 11;15.97;7.37;0.81
"APPLE IPHONE 14 6.1"" 256GB 12MP + 12MP MORADO";S/ 4,999;S/ 4,899;APPLE;0.172kg;256GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;12MP;Más de 10MP;12 MP + 12 MP;-;;"Entre 5.5 a 6.9 """;"6.1""";iOS > 10;iOS 16;Desbloqueado;IP68;USB-C;;Sí;Sí;Super Retina XDR;Doble Chip;;No;;No;;;;;Sí;;Sí;No;Grabación de vídeo en formato HEVC y H.264;Formatos compatibles: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus y Dolby Atmos (entre otros);CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia);;1 año;Celulares y Smartphones;MPWA3BE/A;14.67cm;7.15cm;0.78cm
"CELULAR SAMSUNG GALAXY S22 ULTRA 6.8"" 8GB 128GB 108MP + 10MP + 12MP + 10MP NEGRO";S/ 4,399;S/ 4,199;SAMSUNG;228;128GB;8GB;;Qualcomm | SM8450;40MP;Más de 10MP;108MP + 10MP + 12MP + 10MP;;;Entre 4.5 a 4.9'';6.8;Android > a 5.0;;Desbloqueado;;;5G;;;Dynamic AMOLED 2X;Single Chip;;;;Sí;;;;;Sí;Desbloqueado;Sí;No;Sí;Sí;2.99GHz, 2.4GHz, 1.7GHz;5000 mAh;1 año;Celulares y smartphones;S22 Ultra;16.33;7.79;0.89
CELULAR SAMSUNG GALAXY A33 5G 6.4'' 4GB 128GB 48MP + 8MP + 5MP + 2MP NEGRO;S/ 1,199;S/ 1,099;SAMSUNG;190 g;128GB;4GB;;SEC | S5E8825(Exynos 1280);13MP;Más de 10MP;48MP + 8MP + 5MP + 2MP;5000 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 12;Desbloqueado;Sí;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Súper AMOLED;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;2.4GHz,2GHz;5000 mAh;1 año;Celulares y smartphones;SM-A336M;15.97;7.4;0.81
"CELULAR SAMSUNG GALAXY A53 6.5"" 128GB 6GB 32MP + 64MP + 12MP + 5MP + 5MP";S/ 1,689;S/ 1,599;SAMSUNG;;128GB;6GB;;;32MP;Más de 10MP;64 + 12 + 5 + 5MP;5000 mAh;;"Entre 5.5 a 6.9 """;;Android > a 5.0;;Desbloqueado;IP67;;Wifi, BT, GPS, NFC, USB;;Sí;Súper AMOLED;;;Sí;;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;Sí;Sí;2.4GHz, 2.0GHz;5000 mAh;1 año;Celulares y smartphones;A53;15.96;7.48;0.81
"CELULAR SAMSUNG GALAXY S22 ULTRA 6.8"" 8GB 128GB 108MP + 10MP + 12MP + 10MP ROJO";S/ 4,399;S/ 4,199;SAMSUNG;228;128GB;8GB;;Qualcomm | SM8450;40MP;Más de 10MP;108MP + 10MP + 12MP + 10MP;;;Entre 4.5 a 4.9'';6.8;Android > a 5.0;Android 12;Desbloqueado;;;5G;;;Dynamic AMOLED 2X;Single Chip;;;;Sí;;;;;Sí;Desbloqueado;Sí;No;Sí;Sí;2.99GHz, 2.4GHz, 1.7GHz;5000 mAh;1 año;Celulares y smartphones;S22 Ultra;16.33;7.79;0.89
"CELULAR MOTOROLA G31 6.4"" 4GB 50MP + 8MP + 2MP GRIS";S/ 699;S/ 669;MOTOROLA;0.181;128GB;4GB;Mediatek;Helio G85;13MP;Más de 10MP;50 MP + 8 MP + 2 MP ;5000 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 11;Desbloqueado;No;USB-C;4G / Wi-Fi / Bluetooth;No;Sí;;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;;Sí;;Sí;No;HD+;MP3/eAAC+/WAV/FLAC;2.4 GHz;5000 mAh;;Celulares y Smartphones;G31;16.18;0.85;7.38
CELULAR HUAWEI NOVA 9 SE 6GB 128GB 108+8+2+2 - MIDNIGHT BLACK; ; ;HUAWEI;;128GB;6GB;;Qualcomm Snapdragon 680 6nm;16MP;Más de 10MP;108MP + 8MP + 2MP + 2MP;;;;6.78;EMUI > a 10;;;;;WLAN/Bluetooth 5.0/USB tipo C/NFC;;;TFT IPS LCD;;;;;Sí;;;;No;Sí;;Sí;No;;No;No;4000 mAh;1 año;Celulares y smartphones;JuliaQN-L23A;16.46;7.55;0.79
"CELULAR SAMSUNG GALAXY S20 FE 5G 6.5"" 6GB 128GB 32MP + 12MP + 12MP + 8MP VIOLETA";S/ 1,899;S/ 1,799;SAMSUNG;190g;128GB;6GB;Octa Core;Qualcomm | SM8250;32MP;Más de 10MP;12MP + 12MP + 8MP;;;"Entre 5.5 a 6.9 """;6.5;Android > a 5.0;Android 12;Desbloqueado;IP68;USB-C;;No;Sí;;Single Chip;;Sí;;Sí;;;;;Sí;;No;No;;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;2.8GHz,2.4GHz,1.8GHz;4500 mAh;1 Año;Celulares y Smartphones;SM-G781B;159.8mm;74.5mm;8.4mm
"CELULAR SAMSUNG GALAXY S23 6.1"" 8GB 256GB 50MP + 10MP + 12MP SM-S911BLIMLTP LAVANDA";S/ 3,999;S/ 3,799;SAMSUNG;168;256GB;8GB;Qualcomm | SM8550;Octa-Core;12 MP;Más de 10MP;50 MP + 10 MP + 12 MP;3900 mAh;;"Entre 5.5 a 6.9 """;"6.1""";Android > a 5.0;Android 13;Desbloqueado;IP68;USB-C;5G/4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;3.36GHz,2.8GHz,2GHz;3900 mAh;1 año;Celulares y Smartphones;SM-S911B;146.3;70.9;7.6
"CELULAR SAMSUNG GALAXY S23 PLUS 6.6"" 8GB 512GB 50MP + 10MP + 12MP SM-S916BZEMLTP CREMA";S/ 4,799;S/ 4,599;SAMSUNG;195;512GB;8GB;Qualcomm | SM8550;Octa-Core;12 MP;Más de 10MP;50 MP + 10 MP + 12 MP;4700 mAh;;"Entre 5.5 a 6.9 """;"6.6""";Android > a 5.0;Android 13;Desbloqueado;IP68;USB-C;5G/4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;SI;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;3.36GHz,2.8GHz,2GHz;4700 mAh;1 año;Celulares y Smartphones;SM-S916B;157.8;76.2;7.6
